bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
,,,,,Campfire,lowdelay,8x8-1,22
,,,,,Campfire,lowdelay,8x8-1,27
,,,,,Campfire,lowdelay,8x8-1,32
,,,,,Campfire,lowdelay,8x8-1,37
