,bd_rate
4x4-1-8x8-2,0.08575943484903092
4x4-3-8x8-SAD,0.11179891729937719
4x4-3,0.012922643704715853
4x4-1-8x8-SAD,0.11516240436011405
8x8-3,0.06126958296175378
8x8-1,0.03350175639040831
4x4-1-8x8-1,0.08575943484903092
8x8-SAD,0.056782315213310675
4x4-1-8x8-3,0.08575943484903092
8x8-2,0.036502509885139034
4x4-1-8x8-2,0.5826187399496696
4x4-3-8x8-SAD,0.48201942583523394
4x4-3,-0.004009004752780765
4x4-1-8x8-SAD,0.09567788604967209
8x8-3,0.4717395249469236
8x8-1,0.31441445549842406
4x4-1-8x8-1,0.5826187399496696
8x8-SAD,0.26489211672524604
4x4-1-8x8-3,0.5826187399496696
8x8-2,0.31673563375986813
4x4-1-8x8-2,0.006290660852137364
4x4-3-8x8-SAD,-0.009039159113466422
4x4-3,-0.1591585452137556
4x4-1-8x8-SAD,0.05374181903403663
8x8-3,-0.1385969201431969
8x8-1,-0.17910041630774254
4x4-1-8x8-1,0.006290660852137364
8x8-SAD,0.04708848049888026
4x4-1-8x8-3,0.006290660852137364
8x8-2,-0.04304557089097605
