,bd_rate
4x4-1-8x8-1,0.15546061684901247
4x4-1-8x8-2,0.15546061684901247
4x4-1-8x8-3,0.15546061684901247
4x4-1-8x8-SAD,0.2078860622160228
4x4-2-8x8-4,0.15546061684901247
4x4-3-8x8-SAD,0.18866377076178775
4x4-3,-0.004486946842852113
8x8-1,0.08403996167998251
8x8-2,0.11289150562143746
8x8-3,0.13457760135215935
8x8-SAD,0.1991053171814583
4x4-1-8x8-1,0.9209869629002609
4x4-1-8x8-2,0.9209869629002609
4x4-1-8x8-3,0.9209869629002609
4x4-1-8x8-SAD,0.632966829726378
4x4-3-8x8-SAD,0.5704846930021379
4x4-3,-0.07764437696019533
8x8-1,0.2703434744114608
8x8-2,0.5095343633422234
8x8-3,0.6490012758707975
8x8-SAD,0.6003256776704546
4x4-1-8x8-1,0.538079343927178
4x4-1-8x8-3,0.538079343927178
4x4-1-8x8-SAD,0.6627541894270506
4x4-3-8x8-SAD,0.7381768550480894
4x4-3,0.02423845809409464
8x8-1,0.24341092825890254
8x8-2,0.09432190681770702
8x8-3,0.5827435796340152
8x8-SAD,0.5124586302919898
